Approved symbol	Status	Previous symbols	Alias symbols	RefSeq IDs	Ensembl ID(supplied by Ensembl)
LINC02793	Approved				ENSG00000285823
LINC02794	Approved				ENSG00000226133
LINC02795	Approved				ENSG00000285210
LINC02796	Approved				ENSG00000227016
LINC02797	Approved				ENSG00000285808
LINC02798	Approved				ENSG00000227082
LINC02799	Approved				ENSG00000235887
LINC02800	Approved				ENSG00000230023
LINC02801	Approved				ENSG00000284240
LINC02802	Approved				ENSG00000232527
LINC02803	Approved				ENSG00000227740
LINC02804	Approved				ENSG00000274372
LINC02805	Approved			NR_135559	ENSG00000232265
LINC02806	Approved				ENSG00000238107
LINC02808	Approved				ENSG00000284696
LINC02809	Approved			NR_158166	ENSG00000276255
LINC02810	Approved				ENSG00000236648
LINC02811	Approved				ENSG00000284678
LINC02812	Approved				ENSG00000230138
LINC02813	Approved				ENSG00000225334
LINC02814	Approved				ENSG00000236975
LINC02815	Approved				ENSG00000282111
LINC02816	Approved				ENSG00000225857
LINC02817	Approved	C1orf140	FLJ46636	NR_024236	ENSG00000234754
LINC02818	Approved				ENSG00000231966
LINC02819	Approved				ENSG00000224943
LINC02820	Approved				ENSG00000258815
LINC02821	Approved				ENSG00000257139
LINC02822	Approved				ENSG00000286021
LINC02823	Approved				ENSG00000258100
LINC02824	Approved				ENSG00000255998
LINC02825	Approved			NR_147498	ENSG00000256494
LINC02826	Approved				ENSG00000275212
LINC02827	Approved				ENSG00000236908
LINC02828	Approved				ENSG00000224164
LINC02829	Approved				ENSG00000229274
LINC02830	Approved				ENSG00000224899
LINC02831	Approved				ENSG00000224173
LINC02832	Approved				ENSG00000227308
LINC02833	Approved				ENSG00000258742
LINC02834	Approved				ENSG00000285686
LINC02835	Approved		lncMER52A		ENSG00000285711
LINC02836	Approved				ENSG00000237567
LINC02837	Approved				ENSG00000264464
LINC02838	Approved				ENSG00000285536
LINC02839	Approved				ENSG00000254123
LINC02840	Approved				ENSG00000224893
LINC02841	Approved				ENSG00000267407
LINC02842	Approved				ENSG00000254119
LINC02843	Approved				ENSG00000228189
LINC02844	Approved				ENSG00000253679
LINC02845	Approved				ENSG00000253644
LINC02846	Approved				ENSG00000260193
LINC02847	Approved				ENSG00000253702
LINC02848	Approved				ENSG00000226581
LINC02849	Approved				ENSG00000285768
LINC02850	Approved				ENSG00000236436
LINC02851	Approved				ENSG00000229611
LINC02852	Approved				ENSG00000285866
LINC02853	Approved				ENSG00000259245
LINC02854	Approved				ENSG00000238131
LINC02855	Approved				ENSG00000254209
LINC02856	Approved				ENSG00000285594
LINC02857	Approved				ENSG00000230852
LINC02858	Approved				ENSG00000285869
LINC02859	Approved		LncRNA-LOC101928316		
LINC02860	Approved	C7orf71		NR_161201	ENSG00000222004
LINC02861	Approved		RP11-462G12.2	NR_120311	ENSG00000262185
LINC02862	Approved		AC073284.4		ENSG00000237571
LINC02863	Approved				ENSG00000238160
LINC02864	Approved		RP11-169F17.1	NR_034133	ENSG00000263711
LINC02865	Approved				ENSG00000229922
LINC02866	Approved		RP11-359E19.2		ENSG00000253665
LINC02868	Approved	C1orf137		NR_149353	ENSG00000203864
LINC02869	Approved	C1orf143		NR_146760	ENSG00000228208
LINC02870	Approved	C10orf91	bA432J24.4	NR_149317	ENSG00000180066
LINC02871	Approved	C20orf187	dJ727I10.1	NR_146878	ENSG00000125899
LINC02872	Approved	C9orf170	FLJ45537	NR_161226	ENSG00000204446
LINC02873	Approved	C11orf44	FLJ39058	NR_164144	ENSG00000175728
LINC02874	Approved	C12orf80		NR_164131	ENSG00000257137
LINC02875	Approved	C17orf82		NR_160788	ENSG00000187013
LINC02876	Approved	C17orf112		NR_164143	ENSG00000227011
LINC02877	Approved	C3orf79		NR_160966	ENSG00000237787
LINC02878	Approved		BREA2	NR_015445	ENSG00000181097
LINC02880	Approved		FLJ34503	NR_027060	ENSG00000175967
LINC02881	Approved	C10orf142		NR_164139	ENSG00000277288
LINC02882	Approved		RP11-81H3.2	NR_038300	ENSG00000251138
LINC02883	Approved		KMU15	NR_120366	ENSG00000259416
LINC02884	Approved				ENSG00000231246
LINC02885	Approved	ISX-AS1		NR_138042	ENSG00000286592
LINC02886	Approved		RP11-697M17.1		ENSG00000253712
LINC02887	Approved				ENSG00000280279
LINC02888	Approved		KCCAT333	NR_110014	ENSG00000236318
LINC02889	Approved			NR_110013	ENSG00000236039
LINC02890	Approved				ENSG00000260905
LINC02891	Approved		lnc-RTN4R-1	NR_038460	ENSG00000249923
LINC02893	Approved			NR_027471	ENSG00000269994
LINC02894	Approved			NR_034034	ENSG00000261437
LINC02895	Approved				ENSG00000259380
LINC02896	Approved				ENSG00000259215
LINC02897	Approved	C1orf229	FLJ45717	NR_167894	ENSG00000221953
LINC02898	Approved	C2orf91		NR_161189	ENSG00000205086
LINC02899	Approved	C5orf17	FLJ34836	NR_131245	ENSG00000248874
LINC02900	Approved	C5orf66-AS2			ENSG00000249647
LINC02901	Approved	C6orf99	yR211F11.1	NR_160976	ENSG00000203711
LINC02902	Approved	C7orf65	FLJ44108	NR_171030	ENSG00000221845
LINC02903	Approved	C7orf66		NR_171002	ENSG00000205174
LINC02904	Approved	C8orf31	FLJ37131	NR_126398	ENSG00000177335
LINC02905	Approved	C8orf49	FLJ30972, G4DM	NR_171032	
LINC02906	Approved	C8orf87		NR_161372	ENSG00000279847
LINC02907	Approved	C9orf62	MGC35463	NR_171012	ENSG00000178243
LINC02908	Approved	C9orf139	FLJ36268, FLJ42909	NR_171031	ENSG00000180539
LINC02909	Approved	C12orf77		NR_171024	ENSG00000226397
LINC02910	Approved	C20orf197	FLJ33860	NR_161291	ENSG00000176659
LINC02911	Approved	C16orf97			ENSG00000261190
LINC02912	Approved	TMEM75	FLJ36105	NR_103558	ENSG00000280055
LINC02913	Approved	C9orf106	bA65J3.5	NR_149714	ENSG00000179082
LINC02914	Approved	C14orf177	FLJ25773	NR_161368	ENSG00000176605
LINC02915	Approved	C15orf54	FLJ39531	NR_144507	ENSG00000175746
LINC02916	Approved		TCONS_00018175		ENSG00000230555
LINC02917	Approved				
LINC02918	Approved				
LINC02919	Approved				
LINC02920	Approved				
LINC02921	Approved				
LINC02922	Approved				
LINC02923	Approved				
LINC02924	Approved				
LINC02925	Approved		RP3-439F8.1		
LINC02926	Approved				
LINC02927	Approved				
LINC02928	Approved				
LINC02929	Approved				
LINC02930	Approved				
LINC02931	Approved				
LINC02932	Approved		RP11-115N4.1		
LINC02933	Approved		AC012213.3		
LINC02934	Approved				
LINC02935	Approved		AL158212.1		
LINC02936	Approved		AC017074.1		
LINC02937	Approved				
LINC02938	Approved				
LINC02939	Approved			NR_148973	
LINC02940	Approved				
LINC02941	Approved			NR_121622	
LINC02942	Approved				
LINC02943	Approved				
LINC02944	Approved				
LINC02945	Approved				
LINC02946	Approved		RMEL1	NR_038891	
LINC02947	Approved				
LINC02948	Approved				
LINC02949	Approved				
LINC02950	Approved				
LINC02951	Approved				
LINC02952	Approved				
LINC02953	Approved			NR_172877	
LINC02954	Approved				
LINC02955	Approved				
LINC02956	Approved				
LINC02957	Approved				
LINC02958	Approved				
LINC02959	Approved				
LINC02960	Approved				
LINC02961	Approved		PP2672	NR_148962	
LINC02962	Approved		AL589986.2		
LINC02963	Approved		lncRNA-p3134		
LINC02964	Approved				
LINC02965	Approved		CTC-523E23.5		
LINC02966	Approved		AC016745.3		
LINC02967	Approved		AL035661.1		
LINC02968	Approved		AL683807.1		
LINC02969	Approved		AC092683.1		
LINC02970	Approved				
LINC02971	Approved		AL391832.1		
LINC02972	Approved		AC092490.1		
LINC02973	Approved		AC010904.2		
LINC02974	Approved		AP005671.1		
LINC02975	Approved				
LINC02976	Approved		RP3-475N16.1		
LINC02977	Approved		RP11-4O1.2		
LINC02978	Approved				
LINC02979	Approved		RP11-703I16.1		
LINC02980	Approved				
LINC02981	Approved			NR_148505	
LINC02982	Approved			NR_104614	
LINC02983	Approved			NR_171035	
LINC02984	Approved				
LINC02985	Approved			NR_135044	
LINC02986	Approved				
LINC02987	Approved			NR_146733	
LINCADL	Approved		linc-ADAL	NR_157226	ENSG00000287148
LINCMD1	Approved	MIR133BHG, LINC-MD1		NR_131248	ENSG00000225613
LINGO1	Approved	LRRN6A	FLJ14594, LERN1	NM_032808	ENSG00000169783
LINGO1-AS1	Approved			NR_045123	ENSG00000259666
LINGO1-AS2	Approved			NR_120361	ENSG00000259281
LINGO2	Approved	LRRN6C	LERN3	NM_152570	ENSG00000174482
LINGO3	Approved	LRRN6B	LERN2	NM_001101391	ENSG00000220008
LINGO4	Approved	LRRN6D		NM_001004432	ENSG00000213171
LINP1	Approved			NR_138480	ENSG00000223784
LINS1	Approved	LINS, MRT27	WINS1	NM_018148	ENSG00000140471
LIPA	Approved		LAL, CESD	NM_000235	ENSG00000107798
LIPB	Approved				
LIPC	Approved		HL, HTGL		ENSG00000166035
LIPC-AS1	Approved				ENSG00000259293
LIPD	Symbol Withdrawn				
LIPE	Approved		HSL	NM_005357	ENSG00000079435
LIPE-AS1	Approved			NR_073179	ENSG00000213904
LIPF	Approved		HGL, HLAL		ENSG00000182333
LIPG	Approved		EDL	NM_006033	ENSG00000101670
LIPH	Approved		mPA-PLA1, PLA1B, mPA-PLA1alpha, LPDLR		ENSG00000163898
LIPI	Approved		PRED5, LPDL, CT17, mPA-PLA1beta, PLA1C	NM_198996	ENSG00000188992
LIPJ	Approved	LIPL1	bA425M17.2	NM_001010939	ENSG00000204022
LIPK	Approved	LIPL2	bA186O14.2	NM_001080518	ENSG00000204021
LIPM	Approved	LIPL3	bA304I5.1	NM_001128215	ENSG00000173239
LIPN	Approved	LIPL4	bA186O14.3	NM_001102469	ENSG00000204020
LIPN3L	Symbol Withdrawn		dJ620E11.2		
LIPT1	Approved		MGC12290, MGC13378	NM_015929	ENSG00000144182
LIPT1P1	Approved			NG_021973	ENSG00000229975
LIPT2	Approved			NM_001144869	ENSG00000175536
LITAF	Approved		PIG7, SIMPLE, FLJ38636, TP53I7	NM_004862	ENSG00000189067
LITAFD	Approved				ENSG00000283516
LIVAR	Approved		lnc18q22.2		ENSG00000266304
LIX1	Approved	C5orf11	Lft	NM_153234	ENSG00000145721
LIX1-AS1	Approved				ENSG00000251513
LIX1L	Approved		MGC46719	NM_153713	ENSG00000271601
LIX1L-AS1	Approved				ENSG00000234222
LKAAEAR1	Approved	C20orf201		NM_001007125	ENSG00000171695
LKP	Symbol Withdrawn				
LLCDL1	Symbol Withdrawn				
LLCDL2	Symbol Withdrawn				
LLCDL3	Symbol Withdrawn				
LLCFC1	Approved	C7orf34	CTM-1	NM_178829	ENSG00000165131
LLGL1	Approved	DLG4, LLGL, HUGL, HUGL-1	Lgl1, Mgl1		ENSG00000131899
LLGL2	Approved		HGL, Hugl-2	NM_004524	ENSG00000073350
LLP	Entry Withdrawn				
LLPH	Approved	C12orf31	MGC14817, hLLP	NM_032338	ENSG00000139233
LLPH-DT	Approved	LLPH-AS1		NR_125724	ENSG00000239335
LLPHP1	Approved				ENSG00000270793
LLPHP2	Approved				ENSG00000235514
LLPHP3	Approved			NG_029252	ENSG00000233868
LMAN1	Approved	F5F8D	MR60, ERGIC-53, ERGIC53, gp58, MCFD1, FMFD1	NM_005570	ENSG00000074695
LMAN1L	Approved		ERGL, ERGIC-53L		ENSG00000140506
LMAN2	Approved	C5orf8	GP36B, VIP36	NM_006816	ENSG00000169223
LMAN2L	Approved		DKFZp564L2423, VIPL	NM_030805	ENSG00000114988
LMBR1	Approved	C7orf2	ACHP, FLJ11665, ZRS	NM_022458	ENSG00000105983
LMBR1L	Approved		FLJ10494, KIAA1174	NM_018113	ENSG00000139636
LMBRD1	Approved	C6orf209	FLJ11240, bA810I22.1, cblF	NM_018368	ENSG00000168216
LMBRD2	Approved		DKFZp434H2226	NM_001007527	ENSG00000164187
LMCD1	Approved			NM_014583	ENSG00000071282
LMCD1-AS1	Approved			NR_033378	ENSG00000227110
LMF1	Approved	C16orf26, TMEM112	FLJ12681, JFP11, FLJ22302, TMEM112A	NM_022773	ENSG00000103227
LMF1-AS1	Approved				ENSG00000260439
LMF2	Approved	TMEM153, TMEM112B		NM_033200	ENSG00000100258
LMLN	Approved		Gp63, Msp, LMNL1	NM_033029	ENSG00000185621
LMLN-AS1	Approved				ENSG00000232832
LMLN2	Approved				ENSG00000283654
LMN1	Symbol Withdrawn				
LMN2	Symbol Withdrawn				
LMNA	Approved	LMN1, CMD1A, LGMD1B, PRO1, LMNL1	HGPS, MADA	NM_170707	ENSG00000160789
LMNB1	Approved			NM_005573	ENSG00000113368
LMNB1-DT	Approved			NR_134485	ENSG00000251072
LMNB2	Approved	LMN2		NM_032737	ENSG00000176619
LMNL1	Symbol Withdrawn				
LMNL2	Entry Withdrawn				
LMNTD1	Approved	IFLTD1	FLJ36004, Pas1c1	NM_152590	ENSG00000152936
LMNTD2	Approved	C11orf35	MGC35138	NM_173573	ENSG00000185522
LMNTD2-AS1	Approved			NR_147608	ENSG00000254815
LMO1	Approved	RBTN1	TTG1, RHOM1	NM_002315	ENSG00000166407
LMO2	Approved	RBTNL1	TTG2, RHOM2, RBTN2	NM_005574	ENSG00000135363
LMO3	Approved	RBTNL2	Rhom-3, DAT1	NM_018640	ENSG00000048540
LMO4	Approved			NM_006769	ENSG00000143013
LMO7	Approved	FBXO20	FBX20, KIAA0858	NM_005358	ENSG00000136153
LMO7-AS1	Approved		UCHL3-AS1	NR_120410	ENSG00000261105
LMO7-IT1	Entry Withdrawn	LMO7-AS1			
LMO7DN	Approved	C13orf45		NR_164111	ENSG00000178734
LMO7DN-IT1	Approved	C13orf45-IT1	TCONS_00021569	NR_126373	ENSG00000223458
LMOD1	Approved		64kD, D1, 1D, SM-LMOD, SMLMOD		ENSG00000163431
LMOD2	Approved				ENSG00000170807
LMOD3	Approved			NM_198271	ENSG00000163380
LMP2	Symbol Withdrawn				
LMP7	Symbol Withdrawn				
LMTK2	Approved		KIAA1079, KPI2, KPI-2, cprk, LMR2, BREK, AATYK2, PPP1R100	NM_014916	ENSG00000164715
LMTK3	Approved		KIAA1883, LMR3, TYKLM3, PPP1R101	NM_052895	ENSG00000142235
LMX1	Symbol Withdrawn				
LMX1A	Approved	LMX1	LMX1.1	NM_177398	ENSG00000162761
LMX1A-AS1	Approved				ENSG00000238022
LMX1A-AS2	Approved				ENSG00000224702
LMX1B	Approved	NPS1			ENSG00000136944
LMX1B-DT	Approved				
LNC-LBCS	Approved		LBCS		ENSG00000228412
LNCAROD	Approved	LINC01468	lnc-MBL2-4, A-ROD	NR_120641	ENSG00000231131
LNCARSR	Approved		lnc-TALC		ENSG00000233086
LNCATV	Approved			NR_125945	
LNCDAT	Approved		YYLNCT	NR_166065	ENSG00000288638
LNCNEF	Approved	LINC01384	lncRNA-NEF	NR_109883	ENSG00000237396
LNCOC1	Approved		Lnc-OC1	NR_038925	ENSG00000253741
LNCOG	Approved	LINC02407	RP11-54A9.1, lncRNA-OG	NR_146531	ENSG00000257219
LNCPRESS1	Approved			NR_146480	ENSG00000232301
LNCPRESS2	Approved			NR_125920	ENSG00000249152
LNCRI	Approved		lnc-RI		
LNCRNA-ATB	Approved			NR_160525	
LNCRNA-IUR	Approved			NR_110303	
LNCSRLR	Approved		lncRNA-SRLR		ENSG00000240032
LNCTAM34A	Approved	LINC01759	GUARDIN		ENSG00000234546
LNHR	Symbol Withdrawn				
LNMICC	Approved				
LNP1	Approved		NP3		ENSG00000206535
LNPEP	Approved		CAP, PLAP, P-LAP, IRAP	NM_005575	ENSG00000113441
LNPK	Approved	KIAA1715	Ul, LNP1, LNP	NM_030650	ENSG00000144320
LNX1	Approved	LNX	MPDZ, PDZRN2		ENSG00000072201
LNX1-AS1	Approved				ENSG00000250930
LNX1-AS2	Approved				ENSG00000248494
LNX2	Approved	PDZRN1	MGC46315		ENSG00000139517
LOH1CR1	Approved				
LOH12CR2	Approved		LOH2CR12	NR_024061	ENSG00000205791
LOH18CR1	Symbol Withdrawn	LOH18CR1			
LOH19CR1	Symbol Withdrawn		DBA		
LONP1	Approved	PRSS15	LonHS, hLON, PIM1	NM_004793	ENSG00000196365
LONP2	Approved		MGC4840, LONP, LONPL	NM_031490	ENSG00000102910
LONRF1	Approved		FLJ23749, RNF191	NM_152271	ENSG00000154359
LONRF2	Approved		FLJ45273, RNF192	NM_198461	ENSG00000170500
LONRF2P1	Approved			NG_026274	ENSG00000266605
LONRF2P2	Approved				ENSG00000233905
LONRF2P3	Approved				ENSG00000258420
LONRF2P4	Approved				ENSG00000258415
LONRF2P5	Approved				ENSG00000273692
LONRF3	Approved	RNF127	FLJ22612	NM_024778	ENSG00000175556
LORICRIN	Approved	LOR		NM_000427	ENSG00000203782
LOX	Approved				ENSG00000113083
LOXHD1	Approved	DFNB77	FLJ32670, LH2D1	NM_144612	ENSG00000167210
LOXL1	Approved		LOXL, LOL	NM_005576	ENSG00000129038
LOXL1-AS1	Approved			NR_040066	ENSG00000261801
LOXL2	Approved		WS9-14, LOR		ENSG00000134013
LOXL3	Approved			NM_032603	ENSG00000115318
LOXL4	Approved		FLJ21889, LOXC	NM_032211	ENSG00000138131
LPA	Approved	LP	Lp(a)	NM_005577	ENSG00000198670
LPAL1	Approved				
LPAL2	Approved	APOAL	APOARGC	NR_028092	ENSG00000213071
LPAR1	Approved	EDG2	edg-2, rec.1.3, vzg-1, Gpcr26, Mrec1.3, LPA1	NM_057159	ENSG00000198121
LPAR2	Approved	EDG4	EDG-4, LPA2	NM_004720	ENSG00000064547
LPAR3	Approved	EDG7	LP-A3, Edg-7, RP4-678I3, HOFNH30, LPA3	NM_012152	ENSG00000171517
LPAR4	Approved	GPR23	P2Y9, P2Y5-LIKE, P2RY9, LPA4	NM_005296	ENSG00000147145
LPAR5	Approved	GPR93, GPR92	KPG_010, LPA5	NM_020400	ENSG00000184574
LPAR6	Approved	P2RY5	P2Y5	NM_005767	ENSG00000139679
LPC1	Symbol Withdrawn				
LPC2A	Symbol Withdrawn				
LPC2B	Symbol Withdrawn				
LPC2C	Symbol Withdrawn				
LPC2D	Symbol Withdrawn				
LPCAT1	Approved	AYTL2	FLJ12443, AGPAT9, AGPAT10	NM_024830	ENSG00000153395
LPCAT2	Approved	AYTL1	FLJ20481, AGPAT11, LysoPAFAT	NM_017839	ENSG00000087253
LPCAT2BP	Approved				ENSG00000233228
LPCAT3	Approved	OACT5, MBOAT5	C3F, nessy	NM_005768	ENSG00000111684
LPCAT4	Approved	AYTL3, AGPAT7	FLJ10257, LPAAT-eta, LPEAT2	NM_153613	ENSG00000176454
LPGAT1	Approved	FAM34A	KIAA0205, FAM34A1, NET8	NM_014873	ENSG00000123684
LPGAT1-AS1	Approved			NR_135818	ENSG00000229258
LPGAT1P1	Approved	FAM34BP, FAM34A2P		NG_022384	
LPGP1	Symbol Withdrawn				
LPI	Symbol Withdrawn				
LPIN1	Approved		KIAA0188	NM_145693	ENSG00000134324
LPIN2	Approved		KIAA0249	NM_014646	ENSG00000101577
LPIN3	Approved	LIPN3L	SMP2	NM_022896	ENSG00000132793
LPL	Approved	LIPD			ENSG00000175445
LPO	Approved		SPO		ENSG00000167419
LPP	Approved			NM_005578	ENSG00000145012
LPP-AS1	Approved				ENSG00000224563
LPP-AS2	Approved		MYCLo-5, MYCLo-6	NR_036497	ENSG00000270959
LPS	Symbol Withdrawn				
LPXN	Approved		LDPL	NM_004811	ENSG00000110031
LQT	Symbol Withdrawn				
LQT2	Symbol Withdrawn				
LQT3	Symbol Withdrawn				
LQT4	Symbol Withdrawn				
LRAT	Approved		LCA14	NM_004744	ENSG00000121207
LRATD1	Approved	FAM84A	NSE1, FLJ35392	NM_145175	ENSG00000162981
LRATD2	Approved	FAM84B	BCMP101, NSE2	NM_174911	ENSG00000168672
LRBA	Approved	CDC4L	BGL, LAB300, LBA		ENSG00000198589
LRCH1	Approved	CHDC1	KIAA1016	NM_015116	ENSG00000136141
LRCH2	Approved		KIAA1495	NM_020871	ENSG00000130224
LRCH3	Approved		MGC4126	NM_032773	ENSG00000186001
LRCH4	Approved	LRN, LRRN1		NM_002319	ENSG00000077454
LRCOL1	Approved			NM_001195520	ENSG00000204583
LRE3	Entry Withdrawn		L1.3		
LRE4	Entry Withdrawn				
LRFN1	Approved		KIAA1484, SALM2	NM_020862	ENSG00000128011
LRFN2	Approved	KIAA1246, SALM1	FIGLER2	NM_020737	ENSG00000156564
LRFN3	Approved		MGC2656, SALM4, FIGLER1	NM_024509	ENSG00000126243
LRFN4	Approved		MGC3103, SALM3., FIGLER6	NM_024036	ENSG00000173621
LRFN5	Approved	C14orf146	FIGLER8, SALM5	NM_152447	ENSG00000165379
LRFN5-DT	Approved				ENSG00000258636
LRG1	Approved		LRG	NM_052972	ENSG00000171236
LRGUK	Approved		FLJ32786, CFAP246	NM_144648	ENSG00000155530
LRIF1	Approved	C1orf103	RIF1, FLJ11269	NM_018372	ENSG00000121931
LRIG1	Approved		LIG-1, DKFZP586O1624, LIG1	NM_015541	ENSG00000144749
LRIG2	Approved		KIAA0806	NM_014813	ENSG00000198799
LRIG2-DT	Approved			NR_103777	ENSG00000238198
LRIG3	Approved		FLJ90440, KIAA3016	NM_153377	ENSG00000139263
LRIG3-DT	Approved				ENSG00000257443
LRIT1	Approved	LRRC21	PAL, DKFZP434K091, FIGLER9	NM_015613	ENSG00000148602
LRIT2	Approved	LRRC22	AC022389.4	NM_001284223	ENSG00000204033
LRIT3	Approved		FLJ44691, FIGLER4, CSNB1F	NM_198506	ENSG00000183423
LRMDA	Approved	C10orf11	CDA017, OCA7	NM_032024	ENSG00000148655
LRP1	Approved	APR, A2MR	LRP, CD91, LRP1A, APOER, IGFBP3R1, IGFBP-3R	NM_002332	ENSG00000123384
LRP1-AS	Approved			NR_131938	ENSG00000259125
LRP1B	Approved		LRP-DIT, LRPDIT	NM_018557	ENSG00000168702
LRP2	Approved		gp330, DBS	NM_004525	ENSG00000081479
LRP2BP	Approved		DKFZp761O0113	NM_018409	ENSG00000109771
LRP2BP-AS1	Approved		RP11-714G18.1		
LRP3	Approved		LRP-3, hLRp105		ENSG00000130881
LRP4	Approved		MEGF7, CLSS, LRP-4, SOST2	NM_002334	ENSG00000134569
LRP4-AS1	Approved			NR_038909	ENSG00000247675
LRP5	Approved	LRP7, OPPG, EVR1	LR3, BMND1, HBM, OPS, OPTA1, VBCH2, EVR4	NM_002335	ENSG00000162337
LRP5L	Approved		DKFZp434O0213	NM_182492	ENSG00000100068
LRP6	Approved		ADCAD2		ENSG00000070018
LRP7	Symbol Withdrawn				
LRP8	Approved		APOER2, MCI1, LRP-8, HSZ75190	NM_004631	ENSG00000157193
LRP8-DT	Approved	LINC01771		NR_131923	ENSG00000225675
LRP10	Approved		DKFZP564C1940, MGC8675, LRP9, MST087, MSTP087		ENSG00000197324
LRP11	Approved		bA350J20.3, MANSC3	NM_032832	ENSG00000120256
LRP12	Approved		ST7, FLJ12929	NM_013437	ENSG00000147650
LRPAP1	Approved	A2MRAP, RAP	HBP44		ENSG00000163956
LRPPRC	Approved	LSFC	GP130, LRP130	NM_133259	ENSG00000138095
LRR1	Approved	PPIL5	MGC20689, LRR-1	NM_203467	ENSG00000165501
LRRC1	Approved		dJ523E19.1, LANO, FLJ10775, FLJ11834	NM_025168	ENSG00000137269
LRRC2	Approved				ENSG00000163827
LRRC2-AS1	Approved	LUZP3, LUZPP1, LUZP3P		NR_073385	ENSG00000268324
LRRC2P1	Approved			NG_021538	ENSG00000227180
LRRC3	Approved	C21orf102, LRRC3DN, C21orf30	DKFZP434C128		ENSG00000160233
LRRC3-DT	Approved	LRRC3-AS1		NR_047476	ENSG00000229356
LRRC3B	Approved		LRP15	NM_052953	ENSG00000179796
LRRC3B-AS1	Approved				
LRRC3C	Approved				ENSG00000204913
LRRC3DN	Symbol Withdrawn	C21orf30	DKFZP434C128		
LRRC4	Approved		NAG14	NM_022143	ENSG00000128594
LRRC4B	Approved	LRIG4	DKFZp761A179, HSM	NM_001080457	ENSG00000131409
LRRC4C	Approved		KIAA1580, NGL-1	NM_020929	ENSG00000148948
LRRC7	Approved		KIAA1365, densin-180	NM_020794	ENSG00000033122
LRRC7-AS1	Approved				ENSG00000237919
LRRC8A	Approved	LRRC8	KIAA1437, FLJ10337, SWELL1	NM_019594	ENSG00000136802
LRRC8B	Approved		TA-LRRP, KIAA0231	NM_015350	ENSG00000197147
LRRC8C	Approved		AD158	NM_032270	ENSG00000171488
LRRC8C-DT	Approved		FLJ27354	NR_033981	ENSG00000231999
LRRC8D	Approved	LRRC5	FLJ10470	NM_018103	ENSG00000171492
LRRC8D-DT	Approved				ENSG00000272931
LRRC8E	Approved		FLJ23420	NM_025061	ENSG00000171017
LRRC9	Approved		FLJ46156	NM_001355272	ENSG00000131951
LRRC10	Approved		HRLRRP, LRRC10A	NM_201550	ENSG00000198812
LRRC10B	Approved			NM_001145077	ENSG00000204950
LRRC14	Approved		KIAA0014, LRRC14A	NM_014665	ENSG00000160959
LRRC14B	Approved			NM_001080478	ENSG00000185028
LRRC15	Approved		LIB		ENSG00000172061
LRRC17	Approved		P37NB, H_RG318M05.3	NM_005824	ENSG00000128606
LRRC18	Approved		UNQ933, MGC34773, UNQ9338, VKGE9338	NM_001006939	ENSG00000165383
LRRC19	Approved		FLJ21302	NM_022901	ENSG00000184434
LRRC20	Approved		FLJ10751, FLJ10844	NM_018239	ENSG00000172731
LRRC23	Approved		B7, LRPB7	NM_006992	ENSG00000010626
LRRC24	Approved		LRRC14OS	NM_001024678	ENSG00000254402
LRRC25	Approved		MAPA, FLJ38116	NM_145256	ENSG00000175489
LRRC26	Approved		bA350O14.10, OTTHUMG00000020980	NM_001013653	ENSG00000184709
LRRC27	Approved		KIAA1674	NM_030626	ENSG00000148814
LRRC28	Approved		MGC24976, FLJ34269, FLJ45242	NM_144598	ENSG00000168904
LRRC29	Approved	FBXL9	FBL9	NM_012163	ENSG00000125122
LRRC30	Approved			NM_001105581	ENSG00000206422
LRRC31	Approved		FLJ23259	NM_024727	ENSG00000114248
LRRC32	Approved	D11S833E, GARP		NM_005512	ENSG00000137507
LRRC34	Approved		MGC27085	NM_153353	ENSG00000171757
LRRC34P1	Approved				ENSG00000256371
LRRC34P2	Approved				ENSG00000250464
LRRC36	Approved		FLJ11004	NM_018296	ENSG00000159708
LRRC37A	Approved		KIAA0563	NM_014834	ENSG00000176681
LRRC37A2	Approved		FLJ45049	NM_001006607	ENSG00000238083
LRRC37A3	Approved		FLJ34306, KIAA0563	NM_199340	ENSG00000176809
LRRC37A4P	Approved	LRRC37A4	FLJ10120	NR_002940	ENSG00000214425
LRRC37A5P	Approved	C9orf29		NR_034087	ENSG00000204173
LRRC37A6P	Approved		LRRC37E	NR_003525	ENSG00000230445
LRRC37A7P	Approved			NG_026286	ENSG00000265158
LRRC37A8P	Approved			NG_028731	
LRRC37A9P	Approved			NG_028732	ENSG00000271013
LRRC37A10P	Approved			NG_028733	
LRRC37A11P	Approved		LRRC37F	NR_033753	ENSG00000214553
LRRC37A12P	Approved				ENSG00000229259
LRRC37A13P	Approved				ENSG00000257101
LRRC37A14P	Approved				ENSG00000215771
LRRC37A15P	Approved				ENSG00000230069
LRRC37A16P	Approved		LRRC37C		ENSG00000267023
LRRC37A17P	Approved		LRRC37A5		ENSG00000263142
LRRC37B	Approved			NM_052888	ENSG00000185158
LRRC37BP1	Approved	LRRC37B2	DKFZp667M2411	NR_015341	ENSG00000250462
LRRC38	Approved				ENSG00000162494
LRRC39	Approved		MGC14816, myomasp	NM_144620	ENSG00000122477
LRRC40	Approved		FLJ20331	NM_017768	ENSG00000066557
LRRC41	Approved		MUF1	NM_006369	ENSG00000132128
LRRC42	Approved		MGC8974	NM_052940	ENSG00000116212
